lot_id,rfp_description,rank,sku_id,sku_name,match_percentage
L012,16 Sq mm Cu single core cable Black,3,PC-CU-4,Polycab Copper Wire 4 sqmm,82.14
L013,Power cable Red 10 Sqmm Cu Single Core,1,PC-CU-2.5,Polycab Copper Wire 2.5 sqmm,85.71
L013,Power cable Red 10 Sqmm Cu Single Core,2,PC-CU-4,Polycab Copper Wire 4 sqmm,84.29
L013,Power cable Red 10 Sqmm Cu Single Core,3,PC-LT-CU-1C-10-RED,Polycab 1.1kV 1 Core 10sqmm Copper Flexible Cable (Red),78.57
L014,Power cable Black 10 Sqmm Cu Single Core,1,PC-CU-2.5,Polycab Copper Wire 2.5 sqmm,85.71
L014,Power cable Black 10 Sqmm Cu Single Core,2,PC-CU-4,Polycab Copper Wire 4 sqmm,84.29
L014,Power cable Black 10 Sqmm Cu Single Core,3,PC-LT-CU-1C-10-RED,Polycab 1.1kV 1 Core 10sqmm Copper Flexible Cable (Red),78.57
L015,Power cable Red 4 Sqmm Cu Single Core,1,PC-CU-4,Polycab Copper Wire 4 sqmm,92.86
L015,Power cable Red 4 Sqmm Cu Single Core,2,PC-CU-2.5,Polycab Copper Wire 2.5 sqmm,91.07
L015,Power cable Red 4 Sqmm Cu Single Core,3,PROD-008,Solar DC Cable 4sqmm Tinned Copper EN 50618,75.0
L016,Power cable Black 4 Sqmm Cu Single Core,1,PC-CU-4,Polycab Copper Wire 4 sqmm,92.86
L016,Power cable Black 4 Sqmm Cu Single Core,2,PC-CU-2.5,Polycab Copper Wire 2.5 sqmm,91.07
L016,Power cable Black 4 Sqmm Cu Single Core,3,PROD-008,Solar DC Cable 4sqmm Tinned Copper EN 50618,75.0
L017,Earthing Cable 35 Sqmm Cu Single core (Green),1,PC-CU-2.5,Polycab Copper Wire 2.5 sqmm,83.16
L017,Earthing Cable 35 Sqmm Cu Single core (Green),2,PC-CU-4,Polycab Copper Wire 4 sqmm,80.2
L017,Earthing Cable 35 Sqmm Cu Single core (Green),3,PC-LT-CU-1C-25-RED,Polycab 1.1kV 1 Core 25sqmm Copper Flexible Cable (Red),74.49
L018,Earthing Cable 6 Sqmm Cu Single core (Green),1,PC-CU-2.5,Polycab Copper Wire 2.5 sqmm,88.1
L018,Earthing Cable 6 Sqmm Cu Single core (Green),2,PC-CU-4,Polycab Copper Wire 4 sqmm,88.1
L018,Earthing Cable 6 Sqmm Cu Single core (Green),3,PC-LT-CU-4C-6,Polycab 1.1kV 4 Core 6sqmm Copper Armoured Cable,78.57
